,,,,,,,,,,,,,,,,,,,
Stock,Type,Shares,Price,value,Portfolio/total ,EPS,PE ratio,,SYMBOL,,avg cost,Strategy,value Increase,,,annual div,Div,investment,ROI
DIA,INDEX,7.778684,338.78,"$2,635.26",16.82%,#N/A,#N/A,,NYSEARCA:DIA,0,316.33,BUY AND HOLD,$174.63,,,,#N/A,"$2,460.63",0.07097018936
Vanguard TOTAL,INDEX,7.499264,220.90,"$1,656.59",10.57%,#N/A,#N/A,,NYSEARCA:VTI,0,202.06,BUY AND HOLD,$141.29,,,,#N/A,"$1,515.30",9.32%
VONE,INDEX,2.963986,198.44,$588.17,3.75%,#N/A,#N/A,,NASDAQ:VONE,,189.11,BUY AND HOLD,$27.65,,,0,#N/A,$560.52,4.93%
BLK,FINANCE,3.428133,865.42,"$2,966.77",18.94%,34.51,25.08,,NYSE:BLK,0,558,BUY AND HOLD,"$1,172.18",,,118.3048698,34.51,"$1,912.90",61.28%
NYSE:SBR,MONTHLY DIV,16.26839,39.01,$634.63,4.05%,2.19,17.85,,NYSE:SBR,0,30.48,MONTHLY DIV,$174.40,,,35.6277741,2.19,$495.86,35.17%
agnc,MONTHLY DIV,47.753672,17.07,$815.16,5.20%,5.53,3.08,,NASDAQ:AGNC,0,15.4,MONTHLY DIV,$343.83,,,264.0778062,5.53,$735.41,46.75%
psec,MONTHLY DIV,60.210606,8.91,$536.48,3.42%,2.32,3.84,,NASDAQ:PSEC,0,5.18,MONTHLY DIV,$364.27,,,139.6886059,2.32,$311.89,116.80%
arr,MONTHLY DIV,60.627939,11.44,$693.58,4.43%,3.87,2.95,,NYSE:ARR,0,10.5,MONTHLY DIV,$291.62,,,234.6301239,3.87,$636.59,45.81%
GLAD,MONTHLY DIV,43.312281,11.35,$491.59,3.14%,1.84,6.17,,NASDAQ:GLAD,0,7.81,MONTHLY DIV,$233.02,,,79.69459704,1.84,$338.27,68.89%
HRZN,MONTHLY DIV,35.705078,17.42,$621.98,3.97%,0.72,24.28,,NASDAQ:HRZN,0,13.14,MONTHLY DIV,$178.53,,,25.70765616,0.72,$469.16,38.05%
PFLT,MONTHLY DIV,31.879714,12.88,$410.61,2.62%,,,,NASDAQ:PFLT,,,,,,,,,,
Tesla,TECH,0.409005,656.57,$268.54,1.71%,0.99,661.65,,NASDAQ:TSLA,0,733.49,TECH,-$31.06,,,0.40491495,0.99,$300.00,-10.35%
IPFF,ISHARES,20.096469,17.21,$345.86,2.21%,#N/A,#N/A,,BATS:IPFF,,16.59,ISHARES,$12.46,,,,#N/A,$333.40,3.74%
ROblox,TECH,5,84.86,$424.30,2.71%,-0.56,#N/A,,NYSE:RBLX,,74.3,TECH,$52.80,,,,-0.56,$371.50,14.21%
EEM,ISHARES,2,54.54,$109.08,0.70%,#N/A,#N/A,,NYSEARCA:EEM,,54.62,ISHARES,-$0.16,,,,#N/A,$109.24,-0.15%
IDRV,ISHARES,2,48.61,$97.22,0.62%,#N/A,#N/A,,NYSEARCA:IDRV,,47.93,ISHARES,$1.36,,,,#N/A,$95.86,1.42%
ICLN,ISHARES,4,22.83,$91.32,0.58%,#N/A,#N/A,,NASDAQ:ICLN,,24.4,ISHARES,-$6.28,,,,#N/A,$97.60,-6.43%
IRBO,ISHARES,2,44.08,$88.16,0.56%,#N/A,#N/A,,NYSEARCA:IRBO,,44.81,ISHARES,-$1.46,,,,#N/A,$89.62,-1.63%
ARKF,TECH,1,52.89,$52.89,0.34%,#N/A,#N/A,,NYSEARCA:ARKF,,54.29,TECH,-$1.40,,,,#N/A,$54.29,-2.58%
BTC,CRYPTO,0.02514014,"33,549.00",$843.43,5.38%,#N/A,#N/A,,,,48124.63,CRYPTO,-$366.43,,,,,"$1,209.86",-30.29%
DOGE,CRYPTO,1543.28,0.237702,$366.84,2.34%,#N/A,#N/A,,,,0.357097,CRYPTO,-$184.26,,,,,$551.10,-33.43%
ETH,CRYPTO,0.388872,1948,$757.52,4.84%,#N/A,#N/A,,,,2213.2,CRYPTO,-$103.13,,,,,$860.65,-11.98%
LTC,CRYPTO,1.28690966,133.16,$171.36,1.09%,#N/A,#N/A,,,,163.18,CRYPTO,-$38.63,,,,,$210.00,-18.40%
